City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Ambulu,ID,78.71,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
9,Ambilobe,MG,83.28,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
10,Atuona,PF,78.78,overcast clouds,-9.8,-139.0333,Villa Enata
17,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
18,Rikitea,PF,76.68,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Gondanglegi,ID,76.89,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
21,Songkhla,TH,77.05,broken clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
25,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Mozarlandia,BR,82.15,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
31,Castro,BR,86.02,clear sky,-24.7911,-50.0119,CHACARA BAILLY
32,Samana,DO,82.36,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
37,Miandrivazo,MG,88.23,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
45,Namibe,AO,75.2,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
50,Sumbe,AO,80.58,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
51,Vaini,TO,80.37,overcast clouds,-21.2,-175.2,Keleti Beach Resort
53,Champerico,GT,87.76,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
61,Chuy,UY,77.32,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
62,Ponta Do Sol,PT,75.0,few clouds,32.6667,-17.1,Hotel do Campo
63,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
67,Cape Town,ZA,78.35,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
68,Olavarria,AR,78.03,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
70,Nelson Bay,AU,75.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
79,Hermanus,ZA,76.89,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
81,Lufilufi,WS,81.63,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
82,Labuhan,ID,81.05,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
87,San Rafael,AR,80.92,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
98,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
108,Aquiraz,BR,89.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
112,Butaritari,KI,80.94,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
113,Mogadishu,SO,80.02,overcast clouds,2.0371,45.3438,Hotel Juba
114,Sorong,ID,81.0,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
115,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
123,Bengkulu,ID,76.46,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
125,Olinda,BR,85.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
128,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
129,Kalmunai,LK,78.53,scattered clouds,7.4167,81.8167,VS Villa
132,Domoni,KM,83.12,overcast clouds,-12.2569,44.5319,Al Djadid
133,Diego De Almagro,CL,76.69,overcast clouds,-26.3667,-70.05,hotel luna del desierto
137,Asosa,ET,78.26,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
139,Conceicao Do Araguaia,BR,84.74,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
149,Vao,NC,75.09,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
150,Nabire,ID,75.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
151,Angoche,MZ,82.54,broken clouds,-16.2325,39.9086,Guest House HESADA
157,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
