City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aksarka,RU,2021-12-22 15:1032,66.5606,67.7975,8.08,96,100,7.96,light snow
1,Qasigiannguit,GL,2021-12-22 15:1032,68.8193,-51.1922,39.45,51,96,20.18,overcast clouds
2,Grindavik,IS,2021-12-22 15:1032,63.8424,-22.4338,36.07,87,90,8.05,overcast clouds
3,Mount Gambier,AU,2021-12-22 15:1033,-37.8333,140.7667,48.97,89,72,4.76,broken clouds
4,Ponta Delgada,PT,2021-12-22 15:1033,37.7333,-25.6667,60.49,72,20,27.63,few clouds
5,Gualaquiza,EC,2021-12-22 15:1033,-3.4,-78.55,74.7,72,99,1.48,overcast clouds
6,Longyearbyen,SJ,2021-12-22 15:1033,78.2186,15.6401,6.64,51,20,11.5,few clouds
7,Airai,TL,2021-12-22 15:0544,-8.9266,125.4092,61.16,88,100,1.68,overcast clouds
8,Ambulu,ID,2021-12-22 15:1034,-8.345,113.6058,78.71,85,87,2.68,overcast clouds
9,Ambilobe,MG,2021-12-22 15:1034,-13.2,49.05,83.28,73,54,5.44,light rain
10,Atuona,PF,2021-12-22 15:0721,-9.8,-139.0333,78.78,73,91,20.78,overcast clouds
11,Amapa,BR,2021-12-22 15:1034,1.0,-52.0,83.57,71,100,6.53,overcast clouds
12,New Norfolk,AU,2021-12-22 15:0538,-42.7826,147.0587,51.71,59,99,1.01,overcast clouds
13,Albany,US,2021-12-22 15:0545,42.6001,-73.9662,41.31,87,42,1.01,scattered clouds
14,Ushuaia,AR,2021-12-22 15:1020,-54.8,-68.3,55.06,50,0,19.57,clear sky
15,Barrow,US,2021-12-22 15:0547,71.2906,-156.7887,-7.58,71,1,26.46,mist
16,Kedrovyy,RU,2021-12-22 15:1035,56.1667,91.8167,-19.14,98,28,6.46,scattered clouds
17,Avarua,CK,2021-12-22 15:1035,-21.2078,-159.775,75.25,83,100,9.22,moderate rain
18,Rikitea,PF,2021-12-22 15:1035,-23.1203,-134.9692,76.68,80,86,10.45,overcast clouds
19,Gondanglegi,ID,2021-12-22 15:1036,-7.7479,112.0132,76.89,92,86,1.88,overcast clouds
20,Leningradskiy,RU,2021-12-22 15:1036,69.3833,178.4167,-21.12,97,63,6.17,broken clouds
