City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2021-12-17 18:2137,59.7035,30.7861,31.89,98,71,5.7
1,Rikitea,PF,2021-12-17 18:2137,-23.1203,-134.9692,74.68,73,99,18.03
2,Mar Del Plata,AR,2021-12-17 18:2026,-38.0023,-57.5575,68.88,88,86,20.0
3,Ribeira Grande,PT,2021-12-17 18:2138,38.5167,-28.7,59.4,58,40,13.8
4,East London,ZA,2021-12-17 18:2138,-33.0153,27.9116,63.54,67,20,9.22
5,Kapaa,US,2021-12-17 18:2138,22.0752,-159.319,73.72,86,90,3.0
6,Puerto Ayora,EC,2021-12-17 18:2138,-0.7393,-90.3518,80.56,86,87,5.01
7,Pisco,PE,2021-12-17 18:2139,-13.7,-76.2167,71.02,78,0,9.22
8,Hithadhoo,MV,2021-12-17 18:2139,-0.6,73.0833,82.47,72,82,4.12
9,Biak,ID,2021-12-17 18:2139,-0.9131,122.8766,77.02,84,61,2.55
10,Port Elizabeth,ZA,2021-12-17 18:2140,-33.918,25.5701,62.89,67,20,14.97
11,Broome,US,2021-12-17 18:2140,42.2506,-75.833,51.17,34,1,7.0
12,Olafsvik,IS,2021-12-17 18:2140,64.8945,-23.7142,42.1,78,100,8.03
13,Mataura,NZ,2021-12-17 18:2140,-46.1927,168.8643,51.48,95,90,8.86
14,Jamestown,US,2021-12-17 18:2141,42.097,-79.2353,47.52,56,1,11.5
15,New Norfolk,AU,2021-12-17 18:2141,-42.7826,147.0587,62.71,35,100,3.51
16,Thompson,CA,2021-12-17 18:2141,55.7435,-97.8558,-14.64,76,75,5.75
17,Atuona,PF,2021-12-17 18:2142,-9.8,-139.0333,77.58,72,7,9.98
18,Maku,IR,2021-12-17 18:2142,39.2911,44.4521,37.78,96,100,1.41
19,Torbay,CA,2021-12-17 18:2142,47.6666,-52.7314,30.76,94,90,33.38
20,Lincoln,US,2021-12-17 18:1739,40.8,-96.667,43.29,58,1,8.01
21,Lazaro Cardenas,MX,2021-12-17 18:2142,17.9583,-102.2,83.98,60,15,6.02
22,Ferrol,ES,2021-12-17 18:2143,43.4832,-8.2369,52.68,82,0,1.79
23,Fairbanks,US,2021-12-17 18:2002,64.8378,-147.7164,6.76,82,90,0.0
24,Victoria,HK,2021-12-17 18:1809,22.2855,114.1577,65.32,67,64,5.01
25,Lebu,CL,2021-12-17 18:2143,-37.6167,-73.65,61.61,66,53,9.73
26,Codrington,AU,2021-12-17 18:2143,-38.2667,141.9667,78.6,23,77,17.49
27,Bijar,IR,2021-12-17 18:2144,35.8668,47.6051,38.39,90,77,9.26
28,Atambua,ID,2021-12-17 18:2144,-9.1061,124.8925,75.33,86,100,3.15
29,Ushuaia,AR,2021-12-17 18:1946,-54.8,-68.3,56.86,67,40,12.66
30,Chuy,UY,2021-12-17 18:2144,-33.6971,-53.4616,72.84,55,65,13.62
31,Tucuma,BR,2021-12-17 18:2145,-0.1833,-50.05,85.73,66,92,8.43
32,Kula,TR,2021-12-17 18:2145,38.5473,28.6498,34.12,84,81,3.22
33,Kodiak,US,2021-12-17 18:2145,57.79,-152.4072,29.71,74,1,3.44
34,Eureka,US,2021-12-17 18:2145,40.8021,-124.1637,47.19,96,33,3.74
35,Cape Town,ZA,2021-12-17 18:1852,-33.9258,18.4232,76.26,51,0,5.01
36,Sao Joao Da Barra,BR,2021-12-17 18:2146,-21.6403,-41.0511,86.09,90,94,3.4
37,Walvis Bay,NA,2021-12-17 18:2146,-22.9575,14.5053,64.09,77,18,6.91
38,Srednekolymsk,RU,2021-12-17 18:2146,67.45,153.6833,-20.76,98,100,6.98
39,Svarstad,NO,2021-12-17 18:2147,59.399,9.9698,37.0,45,8,3.8
40,Provideniya,RU,2021-12-17 18:2147,64.3833,-173.3,4.48,92,100,15.39
41,Bad Durkheim,DE,2021-12-17 18:2147,49.4686,8.1664,46.27,93,9,5.14
42,Richards Bay,ZA,2021-12-17 18:2147,-28.783,32.0377,64.58,76,100,11.1
43,Siilinjarvi,FI,2021-12-17 18:2148,63.0833,27.6667,24.82,93,90,1.14
44,Avarua,CK,2021-12-17 18:2148,-21.2078,-159.775,80.65,78,90,8.05
45,Hermanus,ZA,2021-12-17 18:2148,-34.4187,19.2345,62.8,67,1,26.28
46,Bethel,US,2021-12-17 18:2148,41.3712,-73.414,58.5,26,1,1.99
47,Waipawa,NZ,2021-12-17 18:2249,-41.4122,175.5153,56.93,88,76,4.59
48,Tasiilaq,GL,2021-12-17 18:2249,65.6145,-37.6368,30.36,83,65,4.61
49,Poum,NC,2021-12-17 18:2249,-20.2333,164.0167,77.81,70,22,12.68
50,Punta Arenas,CL,2021-12-17 18:2250,-53.15,-70.9167,60.82,76,75,10.36
51,Hofn,IS,2021-12-17 18:2250,64.2539,-15.2082,39.22,93,90,0.0
52,Uchiza,PE,2021-12-17 18:2250,-8.4592,-76.4633,87.13,60,62,2.64
53,Saldanha,ZA,2021-12-17 18:2250,-33.0117,17.9442,73.45,64,14,15.55
54,Airai,TL,2021-12-17 18:2251,-8.9266,125.4092,61.18,79,100,2.37
55,Adelaide,AU,2021-12-17 18:2251,-34.9333,138.6,69.85,78,75,5.99
56,Hot Springs,US,2021-12-17 18:2051,34.5037,-93.0552,59.4,98,90,5.01
57,Navahrudak,BY,2021-12-17 18:2251,53.6,25.8333,33.66,92,100,10.49
58,Staraya Toropa,RU,2021-12-17 18:2251,56.2801,31.6702,30.58,92,100,7.81
59,Iquitos,PE,2021-12-17 18:2252,-3.7481,-73.2472,82.44,78,75,3.44
60,Nkayi,CG,2021-12-17 18:2252,-4.1841,13.2884,72.7,95,100,0.43
61,Bima,ID,2021-12-17 18:2252,-8.4667,118.7167,79.47,91,99,1.39
62,Aguimes,ES,2021-12-17 18:2253,27.9054,-15.4461,63.23,59,0,3.44
63,Hobart,AU,2021-12-17 18:2018,-42.8794,147.3294,63.05,55,90,1.01
64,Aklavik,CA,2021-12-17 18:2253,68.2191,-135.0107,-10.48,76,75,8.05
65,Bluff,NZ,2021-12-17 18:2253,-46.6,168.3333,51.8,67,59,25.59
66,Roma,US,2021-12-17 18:2253,43.2128,-75.4557,48.88,48,1,3.0
67,Kapit,MY,2021-12-17 18:2254,2.0167,112.9333,73.87,99,100,0.81
68,Barrow,US,2021-12-17 18:2254,71.2906,-156.7887,-9.38,70,90,21.85
69,Katsuura,JP,2021-12-17 18:2254,35.1333,140.3,42.19,48,70,26.37
